trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
165,False,"{'a': 0.01, 'e': 0.9735789028731603}",20,0,-129.9268200199502,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
166,False,"{'a': 0.01, 'e': 0.9732591159931562}",20,8,-20.802975507901774,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
167,False,"{'a': 0.01, 'e': 0.972937431694704}",25,0,-71.89457504169523,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
168,False,"{'a': 0.01, 'e': 0.9726138506049435}",25,0,-111.84937888968183,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
169,False,"{'a': 0.01, 'e': 0.9722883733547127}",20,0,-21.804935714483058,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
170,False,"{'a': 0.01, 'e': 0.9719610005785463}",20,0,-154.58875589886802,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 3}",0
171,False,"{'a': 0.01, 'e': 0.971631732914674}",20,0,-78.54247332665207,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
172,False,"{'a': 0.01, 'e': 0.97130057100502}",20,2,-115.73893622437576,"{0: 10, 1: 4, 2: 1, 3: 1, 4: 2}",1
173,False,"{'a': 0.01, 'e': 0.9709675154952015}",25,11,-116.32770909770579,"{0: 7, 1: 3, 2: 1, 3: 1, 4: 2}",1
174,False,"{'a': 0.01, 'e': 0.9706325670345273}",30,0,-133.4722709577557,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
175,False,"{'a': 0.01, 'e': 0.9702957262759965}",30,0,-204.62905180803642,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
176,False,"{'a': 0.01, 'e': 0.9699569938762973}",20,0,-91.00475488648773,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
177,False,"{'a': 0.01, 'e': 0.969616370495806}",20,0,-82.79436237964511,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
178,False,"{'a': 0.01, 'e': 0.9692738567985852}",25,0,-51.19859492728738,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
179,False,"{'a': 0.01, 'e': 0.9689294534523829}",20,0,-128.31636233325048,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
180,False,"{'a': 0.01, 'e': 0.9685831611286311}",25,0,-248.33409653371487,"{0: 9, 1: 4, 2: 6, 3: 3, 4: 3}",0
181,False,"{'a': 0.01, 'e': 0.9682349805024444}",20,0,-79.23379959725649,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
182,False,"{'a': 0.01, 'e': 0.9678849122526186}",20,0,-86.4547431961256,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
